,Unnamed: 0,Unnamed: 0.1,dt_iso,pressure,humidity,wind_speed,wind_deg,node_id,P1,P2,P1_minus_1,P2_minus_1,humidity_minus_1,pressure_minus_1,wind_deg_minus_1,wind_speed_minus_1,P1_minus_2,P2_minus_2,humidity_minus_2,pressure_minus_2,wind_deg_minus_2,wind_speed_minus_2,P1_minus_3,P2_minus_3,humidity_minus_3,pressure_minus_3,wind_deg_minus_3,wind_speed_minus_3,P1_minus_4,P2_minus_4,humidity_minus_4,pressure_minus_4,wind_deg_minus_4,wind_speed_minus_4,day_in_year,weekday,hour
0,4,4,2018-01-01 03:00:00 +0000 UTC,1012,75,7,250,574,1.1204761904761906,0.4533333333333334,0.6890476190476189,0.4223809523809524,87.0,1011.0,280.0,4.0,3.0004761904761903,1.8604761904761908,87.0,1011.0,280.0,4.0,8.61,6.448571428571429,91.0,1010.0,260.0,1.0,8.780952380952384,7.145714285714284,70.0,1010.0,190.0,4.0,1,0,3
1,5,5,2018-01-01 04:00:00 +0000 UTC,1014,81,6,240,574,1.2895238095238093,0.408095238095238,1.1204761904761906,0.4533333333333334,75.0,1012.0,250.0,7.0,0.6890476190476189,0.4223809523809524,87.0,1011.0,280.0,4.0,3.0004761904761903,1.8604761904761908,87.0,1011.0,280.0,4.0,8.61,6.448571428571429,91.0,1010.0,260.0,1.0,1,0,4
2,6,6,2018-01-01 05:00:00 +0000 UTC,1014,75,4,210,574,0.9499999999999998,0.3171428571428572,1.2895238095238093,0.408095238095238,81.0,1014.0,240.0,6.0,1.1204761904761906,0.4533333333333334,75.0,1012.0,250.0,7.0,0.6890476190476189,0.4223809523809524,87.0,1011.0,280.0,4.0,3.0004761904761903,1.8604761904761908,87.0,1011.0,280.0,4.0,1,0,5
3,7,7,2018-01-01 06:00:00 +0000 UTC,1014,70,6,230,574,1.4785714285714286,0.4342857142857143,0.9499999999999998,0.3171428571428572,75.0,1014.0,210.0,4.0,1.2895238095238093,0.408095238095238,81.0,1014.0,240.0,6.0,1.1204761904761906,0.4533333333333334,75.0,1012.0,250.0,7.0,0.6890476190476189,0.4223809523809524,87.0,1011.0,280.0,4.0,1,0,6
4,8,8,2018-01-01 07:00:00 +0000 UTC,1014,70,5,230,574,1.4880952380952384,0.4614285714285714,1.4785714285714286,0.4342857142857143,70.0,1014.0,230.0,6.0,0.9499999999999998,0.3171428571428572,75.0,1014.0,210.0,4.0,1.2895238095238093,0.408095238095238,81.0,1014.0,240.0,6.0,1.1204761904761906,0.4533333333333334,75.0,1012.0,250.0,7.0,1,0,7
5,9,9,2018-01-01 08:00:00 +0000 UTC,1015,80,6,260,574,1.0514285714285714,0.37857142857142856,1.4880952380952384,0.4614285714285714,70.0,1014.0,230.0,5.0,1.4785714285714286,0.4342857142857143,70.0,1014.0,230.0,6.0,0.9499999999999998,0.3171428571428572,75.0,1014.0,210.0,4.0,1.2895238095238093,0.408095238095238,81.0,1014.0,240.0,6.0,1,0,8
6,10,10,2018-01-01 09:00:00 +0000 UTC,1015,75,8,240,574,1.7704761904761903,0.6366666666666666,1.0514285714285714,0.37857142857142856,80.0,1015.0,260.0,6.0,1.4880952380952384,0.4614285714285714,70.0,1014.0,230.0,5.0,1.4785714285714286,0.4342857142857143,70.0,1014.0,230.0,6.0,0.9499999999999998,0.3171428571428572,75.0,1014.0,210.0,4.0,1,0,9
7,11,11,2018-01-01 10:00:00 +0000 UTC,1015,80,6,230,574,2.467142857142857,0.8590476190476191,1.7704761904761903,0.6366666666666666,75.0,1015.0,240.0,8.0,1.0514285714285714,0.37857142857142856,80.0,1015.0,260.0,6.0,1.4880952380952384,0.4614285714285714,70.0,1014.0,230.0,5.0,1.4785714285714286,0.4342857142857143,70.0,1014.0,230.0,6.0,1,0,10
8,12,12,2018-01-01 11:00:00 +0000 UTC,1014,70,8,230,574,3.05,0.8519047619047619,2.467142857142857,0.8590476190476191,80.0,1015.0,230.0,6.0,1.7704761904761903,0.6366666666666666,75.0,1015.0,240.0,8.0,1.0514285714285714,0.37857142857142856,80.0,1015.0,260.0,6.0,1.4880952380952384,0.4614285714285714,70.0,1014.0,230.0,5.0,1,0,11
9,13,13,2018-01-01 12:00:00 +0000 UTC,1013,65,6,240,574,2.693809523809524,0.7728571428571427,3.05,0.8519047619047619,70.0,1014.0,230.0,8.0,2.467142857142857,0.8590476190476191,80.0,1015.0,230.0,6.0,1.7704761904761903,0.6366666666666666,75.0,1015.0,240.0,8.0,1.0514285714285714,0.37857142857142856,80.0,1015.0,260.0,6.0,1,0,12
10,14,14,2018-01-01 13:00:00 +0000 UTC,1011,87,6,220,574,2.41,0.6761904761904761,2.693809523809524,0.7728571428571427,65.0,1013.0,240.0,6.0,3.05,0.8519047619047619,70.0,1014.0,230.0,8.0,2.467142857142857,0.8590476190476191,80.0,1015.0,230.0,6.0,1.7704761904761903,0.6366666666666666,75.0,1015.0,240.0,8.0,1,0,13
11,15,15,2018-01-01 14:00:00 +0000 UTC,1009,80,5,210,574,1.9209523809523807,0.6533333333333333,2.41,0.6761904761904761,87.0,1011.0,220.0,6.0,2.693809523809524,0.7728571428571427,65.0,1013.0,240.0,6.0,3.05,0.8519047619047619,70.0,1014.0,230.0,8.0,2.467142857142857,0.8590476190476191,80.0,1015.0,230.0,6.0,1,0,14
12,16,16,2018-01-01 15:00:00 +0000 UTC,1007,80,3,230,574,2.4342857142857146,0.8061904761904761,1.9209523809523807,0.6533333333333333,80.0,1009.0,210.0,5.0,2.41,0.6761904761904761,87.0,1011.0,220.0,6.0,2.693809523809524,0.7728571428571427,65.0,1013.0,240.0,6.0,3.05,0.8519047619047619,70.0,1014.0,230.0,8.0,1,0,15
13,17,17,2018-01-01 16:00:00 +0000 UTC,1006,80,3,230,574,2.5699999999999994,0.8614285714285715,2.4342857142857146,0.8061904761904761,80.0,1007.0,230.0,3.0,1.9209523809523807,0.6533333333333333,80.0,1009.0,210.0,5.0,2.41,0.6761904761904761,87.0,1011.0,220.0,6.0,2.693809523809524,0.7728571428571427,65.0,1013.0,240.0,6.0,1,0,16
14,18,18,2018-01-01 17:00:00 +0000 UTC,1005,86,3,200,574,2.9514285714285715,0.8890476190476193,2.5699999999999994,0.8614285714285715,80.0,1006.0,230.0,3.0,2.4342857142857146,0.8061904761904761,80.0,1007.0,230.0,3.0,1.9209523809523807,0.6533333333333333,80.0,1009.0,210.0,5.0,2.41,0.6761904761904761,87.0,1011.0,220.0,6.0,1,0,17
15,19,19,2018-01-01 18:00:00 +0000 UTC,1005,70,5,230,574,3.102857142857142,1.0476190476190474,2.9514285714285715,0.8890476190476193,86.0,1005.0,200.0,3.0,2.5699999999999994,0.8614285714285715,80.0,1006.0,230.0,3.0,2.4342857142857146,0.8061904761904761,80.0,1007.0,230.0,3.0,1.9209523809523807,0.6533333333333333,80.0,1009.0,210.0,5.0,1,0,18
16,20,20,2018-01-01 19:00:00 +0000 UTC,1005,75,4,230,574,2.8647619047619046,0.9252380952380952,3.102857142857142,1.0476190476190474,70.0,1005.0,230.0,5.0,2.9514285714285715,0.8890476190476193,86.0,1005.0,200.0,3.0,2.5699999999999994,0.8614285714285715,80.0,1006.0,230.0,3.0,2.4342857142857146,0.8061904761904761,80.0,1007.0,230.0,3.0,1,0,19
17,21,21,2018-01-01 20:00:00 +0000 UTC,1006,80,6,220,574,2.6280952380952383,0.9985714285714284,2.8647619047619046,0.9252380952380952,75.0,1005.0,230.0,4.0,3.102857142857142,1.0476190476190474,70.0,1005.0,230.0,5.0,2.9514285714285715,0.8890476190476193,86.0,1005.0,200.0,3.0,2.5699999999999994,0.8614285714285715,80.0,1006.0,230.0,3.0,1,0,20
18,22,22,2018-01-01 21:00:00 +0000 UTC,1006,80,5,210,574,1.967619047619048,1.180476190476191,2.6280952380952383,0.9985714285714284,80.0,1006.0,220.0,6.0,2.8647619047619046,0.9252380952380952,75.0,1005.0,230.0,4.0,3.102857142857142,1.0476190476190474,70.0,1005.0,230.0,5.0,2.9514285714285715,0.8890476190476193,86.0,1005.0,200.0,3.0,1,0,21
19,23,23,2018-01-01 22:00:00 +0000 UTC,1008,80,8,230,574,1.860952380952381,1.1042857142857143,1.967619047619048,1.180476190476191,80.0,1006.0,210.0,5.0,2.6280952380952383,0.9985714285714284,80.0,1006.0,220.0,6.0,2.8647619047619046,0.9252380952380952,75.0,1005.0,230.0,4.0,3.102857142857142,1.0476190476190474,70.0,1005.0,230.0,5.0,1,0,22
20,24,24,2018-01-01 23:00:00 +0000 UTC,1009,80,8,240,574,1.2823809523809522,0.7757142857142857,1.860952380952381,1.1042857142857143,80.0,1008.0,230.0,8.0,1.967619047619048,1.180476190476191,80.0,1006.0,210.0,5.0,2.6280952380952383,0.9985714285714284,80.0,1006.0,220.0,6.0,2.8647619047619046,0.9252380952380952,75.0,1005.0,230.0,4.0,1,0,23
21,25,25,2018-01-02 00:00:00 +0000 UTC,1011,80,9,250,574,0.9419047619047618,0.5090476190476191,1.2823809523809522,0.7757142857142857,80.0,1009.0,240.0,8.0,1.860952380952381,1.1042857142857143,80.0,1008.0,230.0,8.0,1.967619047619048,1.180476190476191,80.0,1006.0,210.0,5.0,2.6280952380952383,0.9985714285714284,80.0,1006.0,220.0,6.0,2,1,0
22,26,26,2018-01-02 00:00:00 +0000 UTC,1011,80,9,250,574,0.6047619047619047,0.41,0.9419047619047618,0.5090476190476191,80.0,1011.0,250.0,9.0,1.2823809523809522,0.7757142857142857,80.0,1009.0,240.0,8.0,1.860952380952381,1.1042857142857143,80.0,1008.0,230.0,8.0,1.967619047619048,1.180476190476191,80.0,1006.0,210.0,5.0,2,1,0
23,27,27,2018-01-02 01:00:00 +0000 UTC,1012,52,4,240,574,0.7195238095238096,0.3866666666666667,0.6047619047619047,0.41,80.0,1011.0,250.0,9.0,0.9419047619047618,0.5090476190476191,80.0,1011.0,250.0,9.0,1.2823809523809522,0.7757142857142857,80.0,1009.0,240.0,8.0,1.860952380952381,1.1042857142857143,80.0,1008.0,230.0,8.0,2,1,1
24,28,28,2018-01-02 02:00:00 +0000 UTC,1012,80,7,230,574,1.0380952380952382,0.4833333333333333,0.7195238095238096,0.3866666666666667,52.0,1012.0,240.0,4.0,0.6047619047619047,0.41,80.0,1011.0,250.0,9.0,0.9419047619047618,0.5090476190476191,80.0,1011.0,250.0,9.0,1.2823809523809522,0.7757142857142857,80.0,1009.0,240.0,8.0,2,1,2
25,29,29,2018-01-02 03:00:00 +0000 UTC,1013,80,7,230,574,1.08,0.3938095238095238,1.0380952380952382,0.4833333333333333,80.0,1012.0,230.0,7.0,0.7195238095238096,0.3866666666666667,52.0,1012.0,240.0,4.0,0.6047619047619047,0.41,80.0,1011.0,250.0,9.0,0.9419047619047618,0.5090476190476191,80.0,1011.0,250.0,9.0,2,1,3
26,30,30,2018-01-02 04:00:00 +0000 UTC,1013,80,5,230,574,1.150952380952381,0.459047619047619,1.08,0.3938095238095238,80.0,1013.0,230.0,7.0,1.0380952380952382,0.4833333333333333,80.0,1012.0,230.0,7.0,0.7195238095238096,0.3866666666666667,52.0,1012.0,240.0,4.0,0.6047619047619047,0.41,80.0,1011.0,250.0,9.0,2,1,4
27,31,31,2018-01-02 05:00:00 +0000 UTC,1014,80,4,230,574,0.9780952380952379,0.451904761904762,1.150952380952381,0.459047619047619,80.0,1013.0,230.0,5.0,1.08,0.3938095238095238,80.0,1013.0,230.0,7.0,1.0380952380952382,0.4833333333333333,80.0,1012.0,230.0,7.0,0.7195238095238096,0.3866666666666667,52.0,1012.0,240.0,4.0,2,1,5
28,32,32,2018-01-02 06:00:00 +0000 UTC,1014,80,4,230,574,1.2071428571428569,0.4261904761904762,0.9780952380952379,0.451904761904762,80.0,1014.0,230.0,4.0,1.150952380952381,0.459047619047619,80.0,1013.0,230.0,5.0,1.08,0.3938095238095238,80.0,1013.0,230.0,7.0,1.0380952380952382,0.4833333333333333,80.0,1012.0,230.0,7.0,2,1,6
29,33,33,2018-01-02 07:00:00 +0000 UTC,1015,80,5,230,574,1.9414285714285715,0.6690476190476191,1.2071428571428569,0.4261904761904762,80.0,1014.0,230.0,4.0,0.9780952380952379,0.451904761904762,80.0,1014.0,230.0,4.0,1.150952380952381,0.459047619047619,80.0,1013.0,230.0,5.0,1.08,0.3938095238095238,80.0,1013.0,230.0,7.0,2,1,7
30,34,34,2018-01-02 07:00:00 +0000 UTC,1015,80,5,230,574,1.4766666666666666,0.5742857142857144,1.9414285714285715,0.6690476190476191,80.0,1015.0,230.0,5.0,1.2071428571428569,0.4261904761904762,80.0,1014.0,230.0,4.0,0.9780952380952379,0.451904761904762,80.0,1014.0,230.0,4.0,1.150952380952381,0.459047619047619,80.0,1013.0,230.0,5.0,2,1,7
31,35,35,2018-01-02 08:00:00 +0000 UTC,1017,93,4,280,574,1.2085714285714286,0.5000000000000001,1.4766666666666666,0.5742857142857144,80.0,1015.0,230.0,5.0,1.9414285714285715,0.6690476190476191,80.0,1015.0,230.0,5.0,1.2071428571428569,0.4261904761904762,80.0,1014.0,230.0,4.0,0.9780952380952379,0.451904761904762,80.0,1014.0,230.0,4.0,2,1,8
32,36,36,2018-01-02 09:00:00 +0000 UTC,1018,86,3,230,574,2.3047619047619046,0.8704761904761905,1.2085714285714286,0.5000000000000001,93.0,1017.0,280.0,4.0,1.4766666666666666,0.5742857142857144,80.0,1015.0,230.0,5.0,1.9414285714285715,0.6690476190476191,80.0,1015.0,230.0,5.0,1.2071428571428569,0.4261904761904762,80.0,1014.0,230.0,4.0,2,1,9
33,37,37,2018-01-02 10:00:00 +0000 UTC,1019,93,2,240,574,2.1871428571428573,0.7671428571428571,2.3047619047619046,0.8704761904761905,86.0,1018.0,230.0,3.0,1.2085714285714286,0.5000000000000001,93.0,1017.0,280.0,4.0,1.4766666666666666,0.5742857142857144,80.0,1015.0,230.0,5.0,1.9414285714285715,0.6690476190476191,80.0,1015.0,230.0,5.0,2,1,10
34,38,38,2018-01-02 11:00:00 +0000 UTC,1019,80,0,0,574,2.6047619047619044,0.8695238095238096,2.1871428571428573,0.7671428571428571,93.0,1019.0,240.0,2.0,2.3047619047619046,0.8704761904761905,86.0,1018.0,230.0,3.0,1.2085714285714286,0.5000000000000001,93.0,1017.0,280.0,4.0,1.4766666666666666,0.5742857142857144,80.0,1015.0,230.0,5.0,2,1,11
35,39,39,2018-01-02 12:00:00 +0000 UTC,1018,70,6,250,574,3.2695238095238093,1.0776190476190477,2.6047619047619044,0.8695238095238096,80.0,1019.0,0.0,0.0,2.1871428571428573,0.7671428571428571,93.0,1019.0,240.0,2.0,2.3047619047619046,0.8704761904761905,86.0,1018.0,230.0,3.0,1.2085714285714286,0.5000000000000001,93.0,1017.0,280.0,4.0,2,1,12
36,40,40,2018-01-02 13:00:00 +0000 UTC,1018,80,3,250,574,3.764761904761904,1.2204761904761905,3.2695238095238093,1.0776190476190477,70.0,1018.0,250.0,6.0,2.6047619047619044,0.8695238095238096,80.0,1019.0,0.0,0.0,2.1871428571428573,0.7671428571428571,93.0,1019.0,240.0,2.0,2.3047619047619046,0.8704761904761905,86.0,1018.0,230.0,3.0,2,1,13
37,41,41,2018-01-02 14:00:00 +0000 UTC,1018,88,4,230,574,3.7914285714285714,1.1514285714285717,3.764761904761904,1.2204761904761905,80.0,1018.0,250.0,3.0,3.2695238095238093,1.0776190476190477,70.0,1018.0,250.0,6.0,2.6047619047619044,0.8695238095238096,80.0,1019.0,0.0,0.0,2.1871428571428573,0.7671428571428571,93.0,1019.0,240.0,2.0,2,1,14
38,42,42,2018-01-02 15:00:00 +0000 UTC,1018,88,4,240,574,4.013333333333334,1.1228571428571426,3.7914285714285714,1.1514285714285717,88.0,1018.0,230.0,4.0,3.764761904761904,1.2204761904761905,80.0,1018.0,250.0,3.0,3.2695238095238093,1.0776190476190477,70.0,1018.0,250.0,6.0,2.6047619047619044,0.8695238095238096,80.0,1019.0,0.0,0.0,2,1,15
39,43,43,2018-01-02 16:00:00 +0000 UTC,1018,88,3,220,574,4.915714285714286,1.337142857142857,4.013333333333334,1.1228571428571426,88.0,1018.0,240.0,4.0,3.7914285714285714,1.1514285714285717,88.0,1018.0,230.0,4.0,3.764761904761904,1.2204761904761905,80.0,1018.0,250.0,3.0,3.2695238095238093,1.0776190476190477,70.0,1018.0,250.0,6.0,2,1,16
40,44,44,2018-01-02 17:00:00 +0000 UTC,1018,87,2,200,574,4.219523809523809,1.2809523809523808,4.915714285714286,1.337142857142857,88.0,1018.0,220.0,3.0,4.013333333333334,1.1228571428571426,88.0,1018.0,240.0,4.0,3.7914285714285714,1.1514285714285717,88.0,1018.0,230.0,4.0,3.764761904761904,1.2204761904761905,80.0,1018.0,250.0,3.0,2,1,17
41,45,45,2018-01-02 18:00:00 +0000 UTC,1017,87,1,150,574,4.500476190476192,1.5133333333333334,4.219523809523809,1.2809523809523808,87.0,1018.0,200.0,2.0,4.915714285714286,1.337142857142857,88.0,1018.0,220.0,3.0,4.013333333333334,1.1228571428571426,88.0,1018.0,240.0,4.0,3.7914285714285714,1.1514285714285717,88.0,1018.0,230.0,4.0,2,1,18
42,46,46,2018-01-02 19:00:00 +0000 UTC,1018,87,4,240,574,4.656666666666668,1.4823809523809526,4.500476190476192,1.5133333333333334,87.0,1017.0,150.0,1.0,4.219523809523809,1.2809523809523808,87.0,1018.0,200.0,2.0,4.915714285714286,1.337142857142857,88.0,1018.0,220.0,3.0,4.013333333333334,1.1228571428571426,88.0,1018.0,240.0,4.0,2,1,19
43,47,47,2018-01-02 20:00:00 +0000 UTC,1017,60,4,230,574,5.779999999999999,1.81904761904762,4.656666666666668,1.4823809523809526,87.0,1018.0,240.0,4.0,4.500476190476192,1.5133333333333334,87.0,1017.0,150.0,1.0,4.219523809523809,1.2809523809523808,87.0,1018.0,200.0,2.0,4.915714285714286,1.337142857142857,88.0,1018.0,220.0,3.0,2,1,20
44,48,48,2018-01-02 21:00:00 +0000 UTC,1016,65,3,180,574,4.281428571428571,1.659523809523809,5.779999999999999,1.81904761904762,60.0,1017.0,230.0,4.0,4.656666666666668,1.4823809523809526,87.0,1018.0,240.0,4.0,4.500476190476192,1.5133333333333334,87.0,1017.0,150.0,1.0,4.219523809523809,1.2809523809523808,87.0,1018.0,200.0,2.0,2,1,21
45,49,49,2018-01-02 22:00:00 +0000 UTC,1015,65,7,230,574,4.744285714285714,1.8200000000000005,4.281428571428571,1.659523809523809,65.0,1016.0,180.0,3.0,5.779999999999999,1.81904761904762,60.0,1017.0,230.0,4.0,4.656666666666668,1.4823809523809526,87.0,1018.0,240.0,4.0,4.500476190476192,1.5133333333333334,87.0,1017.0,150.0,1.0,2,1,22
46,50,50,2018-01-02 23:00:00 +0000 UTC,1015,86,2,160,574,3.513333333333333,1.346666666666667,4.744285714285714,1.8200000000000005,65.0,1015.0,230.0,7.0,4.281428571428571,1.659523809523809,65.0,1016.0,180.0,3.0,5.779999999999999,1.81904761904762,60.0,1017.0,230.0,4.0,4.656666666666668,1.4823809523809526,87.0,1018.0,240.0,4.0,2,1,23
47,51,51,2018-01-03 00:00:00 +0000 UTC,1014,80,3,150,574,5.01047619047619,1.4709523809523812,3.513333333333333,1.346666666666667,86.0,1015.0,160.0,2.0,4.744285714285714,1.8200000000000005,65.0,1015.0,230.0,7.0,4.281428571428571,1.659523809523809,65.0,1016.0,180.0,3.0,5.779999999999999,1.81904761904762,60.0,1017.0,230.0,4.0,3,2,0
48,52,52,2018-01-03 00:00:00 +0000 UTC,1014,80,3,150,574,3.3633333333333333,1.4085714285714288,5.01047619047619,1.4709523809523812,80.0,1014.0,150.0,3.0,3.513333333333333,1.346666666666667,86.0,1015.0,160.0,2.0,4.744285714285714,1.8200000000000005,65.0,1015.0,230.0,7.0,4.281428571428571,1.659523809523809,65.0,1016.0,180.0,3.0,3,2,0
49,53,53,2018-01-03 01:00:00 +0000 UTC,1014,93,3,60,574,3.3623809523809527,1.2147619047619047,3.3633333333333333,1.4085714285714288,80.0,1014.0,150.0,3.0,5.01047619047619,1.4709523809523812,80.0,1014.0,150.0,3.0,3.513333333333333,1.346666666666667,86.0,1015.0,160.0,2.0,4.744285714285714,1.8200000000000005,65.0,1015.0,230.0,7.0,3,2,1
50,54,54,2018-01-03 02:00:00 +0000 UTC,1011,86,6,180,574,3.5928571428571434,1.705238095238095,3.3623809523809527,1.2147619047619047,93.0,1014.0,60.0,3.0,3.3633333333333333,1.4085714285714288,80.0,1014.0,150.0,3.0,5.01047619047619,1.4709523809523812,80.0,1014.0,150.0,3.0,3.513333333333333,1.346666666666667,86.0,1015.0,160.0,2.0,3,2,2
51,55,55,2018-01-03 03:00:00 +0000 UTC,1011,86,5,170,574,3.6333333333333333,1.5333333333333334,3.5928571428571434,1.705238095238095,86.0,1011.0,180.0,6.0,3.3623809523809527,1.2147619047619047,93.0,1014.0,60.0,3.0,3.3633333333333333,1.4085714285714288,80.0,1014.0,150.0,3.0,5.01047619047619,1.4709523809523812,80.0,1014.0,150.0,3.0,3,2,3
52,56,56,2018-01-03 04:00:00 +0000 UTC,1009,87,3,180,574,3.1528571428571426,1.5371428571428571,3.6333333333333333,1.5333333333333334,86.0,1011.0,170.0,5.0,3.5928571428571434,1.705238095238095,86.0,1011.0,180.0,6.0,3.3623809523809527,1.2147619047619047,93.0,1014.0,60.0,3.0,3.3633333333333333,1.4085714285714288,80.0,1014.0,150.0,3.0,3,2,4
53,57,57,2018-01-03 05:00:00 +0000 UTC,1007,81,4,220,574,2.1247619047619053,1.2099999999999995,3.1528571428571426,1.5371428571428571,87.0,1009.0,180.0,3.0,3.6333333333333333,1.5333333333333334,86.0,1011.0,170.0,5.0,3.5928571428571434,1.705238095238095,86.0,1011.0,180.0,6.0,3.3623809523809527,1.2147619047619047,93.0,1014.0,60.0,3.0,3,2,5
54,58,58,2018-01-03 06:00:00 +0000 UTC,1004,76,6,200,574,3.1142857142857148,2.1128571428571425,2.1247619047619053,1.2099999999999995,81.0,1007.0,220.0,4.0,3.1528571428571426,1.5371428571428571,87.0,1009.0,180.0,3.0,3.6333333333333333,1.5333333333333334,86.0,1011.0,170.0,5.0,3.5928571428571434,1.705238095238095,86.0,1011.0,180.0,6.0,3,2,6
55,59,59,2018-01-03 07:00:00 +0000 UTC,1002,76,6,220,574,2.7928571428571427,2.3328571428571427,3.1142857142857148,2.1128571428571425,76.0,1004.0,200.0,6.0,2.1247619047619053,1.2099999999999995,81.0,1007.0,220.0,4.0,3.1528571428571426,1.5371428571428571,87.0,1009.0,180.0,3.0,3.6333333333333333,1.5333333333333334,86.0,1011.0,170.0,5.0,3,2,7
56,60,60,2018-01-03 08:00:00 +0000 UTC,1001,76,11,230,574,2.5161904761904763,1.9285714285714288,2.7928571428571427,2.3328571428571427,76.0,1002.0,220.0,6.0,3.1142857142857148,2.1128571428571425,76.0,1004.0,200.0,6.0,2.1247619047619053,1.2099999999999995,81.0,1007.0,220.0,4.0,3.1528571428571426,1.5371428571428571,87.0,1009.0,180.0,3.0,3,2,8
57,61,61,2018-01-03 09:00:00 +0000 UTC,998,76,12,240,574,1.1385714285714283,0.7090476190476189,2.5161904761904763,1.9285714285714288,76.0,1001.0,230.0,11.0,2.7928571428571427,2.3328571428571427,76.0,1002.0,220.0,6.0,3.1142857142857148,2.1128571428571425,76.0,1004.0,200.0,6.0,2.1247619047619053,1.2099999999999995,81.0,1007.0,220.0,4.0,3,2,9
58,62,62,2018-01-03 10:00:00 +0000 UTC,999,81,12,250,574,1.0657142857142854,0.5976190476190476,1.1385714285714283,0.7090476190476189,76.0,998.0,240.0,12.0,2.5161904761904763,1.9285714285714288,76.0,1001.0,230.0,11.0,2.7928571428571427,2.3328571428571427,76.0,1002.0,220.0,6.0,3.1142857142857148,2.1128571428571425,76.0,1004.0,200.0,6.0,3,2,10
59,63,63,2018-01-03 11:00:00 +0000 UTC,1001,62,12,260,574,1.3066666666666666,0.7576190476190477,1.0657142857142854,0.5976190476190476,81.0,999.0,250.0,12.0,1.1385714285714283,0.7090476190476189,76.0,998.0,240.0,12.0,2.5161904761904763,1.9285714285714288,76.0,1001.0,230.0,11.0,2.7928571428571427,2.3328571428571427,76.0,1002.0,220.0,6.0,3,2,11
60,64,64,2018-01-03 12:00:00 +0000 UTC,1006,81,16,290,574,1.2285714285714284,0.7138095238095238,1.3066666666666666,0.7576190476190477,62.0,1001.0,260.0,12.0,1.0657142857142854,0.5976190476190476,81.0,999.0,250.0,12.0,1.1385714285714283,0.7090476190476189,76.0,998.0,240.0,12.0,2.5161904761904763,1.9285714285714288,76.0,1001.0,230.0,11.0,3,2,12
61,65,65,2018-01-03 13:00:00 +0000 UTC,1007,80,8,250,574,1.0147619047619048,0.5161904761904763,1.2285714285714284,0.7138095238095238,81.0,1006.0,290.0,16.0,1.3066666666666666,0.7576190476190477,62.0,1001.0,260.0,12.0,1.0657142857142854,0.5976190476190476,81.0,999.0,250.0,12.0,1.1385714285714283,0.7090476190476189,76.0,998.0,240.0,12.0,3,2,13
62,66,66,2018-01-03 13:00:00 +0000 UTC,1007,80,8,250,574,0.9004761904761907,0.3723809523809524,1.0147619047619048,0.5161904761904763,80.0,1007.0,250.0,8.0,1.2285714285714284,0.7138095238095238,81.0,1006.0,290.0,16.0,1.3066666666666666,0.7576190476190477,62.0,1001.0,260.0,12.0,1.0657142857142854,0.5976190476190476,81.0,999.0,250.0,12.0,3,2,13
63,67,67,2018-01-03 14:00:00 +0000 UTC,1008,75,7,280,574,0.6928571428571428,0.3471428571428571,0.9004761904761907,0.3723809523809524,80.0,1007.0,250.0,8.0,1.0147619047619048,0.5161904761904763,80.0,1007.0,250.0,8.0,1.2285714285714284,0.7138095238095238,81.0,1006.0,290.0,16.0,1.3066666666666666,0.7576190476190477,62.0,1001.0,260.0,12.0,3,2,14
64,68,68,2018-01-03 15:00:00 +0000 UTC,1009,80,1,0,574,1.264761904761905,0.501904761904762,0.6928571428571428,0.3471428571428571,75.0,1008.0,280.0,7.0,0.9004761904761907,0.3723809523809524,80.0,1007.0,250.0,8.0,1.0147619047619048,0.5161904761904763,80.0,1007.0,250.0,8.0,1.2285714285714284,0.7138095238095238,81.0,1006.0,290.0,16.0,3,2,15
65,69,69,2018-01-03 16:00:00 +0000 UTC,1010,100,7,260,574,1.0399999999999996,0.4476190476190475,1.264761904761905,0.501904761904762,80.0,1009.0,0.0,1.0,0.6928571428571428,0.3471428571428571,75.0,1008.0,280.0,7.0,0.9004761904761907,0.3723809523809524,80.0,1007.0,250.0,8.0,1.0147619047619048,0.5161904761904763,80.0,1007.0,250.0,8.0,3,2,16
66,70,70,2018-01-03 17:00:00 +0000 UTC,1010,56,4,240,574,2.1219047619047617,0.6233333333333334,1.0399999999999996,0.4476190476190475,100.0,1010.0,260.0,7.0,1.264761904761905,0.501904761904762,80.0,1009.0,0.0,1.0,0.6928571428571428,0.3471428571428571,75.0,1008.0,280.0,7.0,0.9004761904761907,0.3723809523809524,80.0,1007.0,250.0,8.0,3,2,17
67,71,71,2018-01-03 18:00:00 +0000 UTC,1010,70,4,250,574,2.7847619047619045,0.8333333333333331,2.1219047619047617,0.6233333333333334,56.0,1010.0,240.0,4.0,1.0399999999999996,0.4476190476190475,100.0,1010.0,260.0,7.0,1.264761904761905,0.501904761904762,80.0,1009.0,0.0,1.0,0.6928571428571428,0.3471428571428571,75.0,1008.0,280.0,7.0,3,2,18
68,72,72,2018-01-03 19:00:00 +0000 UTC,1011,80,5,270,574,2.895714285714286,0.9052380952380952,2.7847619047619045,0.8333333333333331,70.0,1010.0,250.0,4.0,2.1219047619047617,0.6233333333333334,56.0,1010.0,240.0,4.0,1.0399999999999996,0.4476190476190475,100.0,1010.0,260.0,7.0,1.264761904761905,0.501904761904762,80.0,1009.0,0.0,1.0,3,2,19
